Rank,Country,ISO3,Region,Total Population,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Total Helicopter Strength,Combat Tanks,Armored Fighting Vehicles,Total Naval Assets,Labor Force,Merchant Marine Strength,Major Ports / Terminals,Roadway Coverage (km),Railway Coverage (km),Defense Budget,External Debt,Foreign Exchange / Gold,Purchasing Power Parity,Square Land Area (km),Coastline (km),Shared Borders (km),Waterways (km)
116,Ivory Coast,IVC,Western Africa,23740424,17450,17450,0,5,4,5,85,10,8543000,0,3,81996,660,440,15840,4952,87120,322463,515,3458,980
117,Mali,MAL,Western Africa,17467108,15500,7500,8000,14,3,24,135,0,6283000,0,1,22474,593,76,3626,3074,38090,1240192,0,7908,0
118,Republic of the Congo,ROC,Middle Africa,4852412,12000,10000,2000,15,10,48,100,6,1807000,1,6,17289,886,135,4817,1989,30270,342000,169,5008,1120
119,Madagascar,MAD,Eastern Africa,24430325,21600,13500,8100,20,4,12,103,8,12980000,1,4,34476,854,56,4007,780,37490,587040,4828,0,600
120,Gabon,GAB,Middle Africa,1738541,4850,4850,0,33,16,0,250,10,674700,2,5,9170,649,81,5158,1585,36220,267667,885,3261,1600
121,Bosnia and Herzegovina,BOS,Southern Europe,3861912,12750,12750,0,20,20,149,100,0,1480000,0,5,22926,601,250,9768,4800,42530,51197,20,1543,0
122,Macedonia,MAC,Southern Europe,2100025,24055,8055,16000,16,16,31,330,0,957400,0,0,14182,700,108,7680,2576,30130,25713,0,838,280
123,Dominican Republic,DOM,Caribbean,10606865,65925,50925,15000,58,26,6,20,33,5133000,0,5,19705,496,110,26050,6924,161900,48320,1288,376,350
124,Laos,LAO,South-eastern Asia,7019073,130000,30000,100000,25,22,55,185,36,3500000,0,0,39568,0,18,11980,1024,40960,236800,0,5274,4600
125,El Salvador,ESL,Central America,6156670,47000,20000,27000,52,30,0,123,4,2788000,0,2,6918,283,165,14900,3201,54790,21041,307,590,0
126,Panama,PAN,Central America,3705246,34000,12000,22000,25,15,0,65,20,1611000,6413,3,11978,76,145,22900,3878,93120,75420,2490,687,800
127,Namibia,NAM,Southern Africa,2436469,15500,9500,6000,31,8,10,113,8,1210000,1,2,44138,2626,120,6515,1762,27040,824292,1572,4220,0
128,Somalia,SOM,Eastern Africa,10817354,15900,15900,0,25,0,140,430,3,3109000,1,2,22100,0,58,3054,30,4431,637657,3025,2385,0
129,Central African Republic,CAR,Middle Africa,5507257,5825,5825,0,4,2,4,51,0,2421000,0,2,20278,0,18,686,4128,3206,622984,0,5920,2800
130,Mauritania,MAU,Western Africa,3677293,20870,15870,5000,26,4,35,70,5,1356000,0,2,10628,728,39,3585000,1186,16710,1030700,754,5002,0
131,Sierra Leone,SIE,Western Africa,6018888,10750,10750,0,5,5,2,10,10,2678000,215,3,11300,0,13,1561,2332,10640,71740,402,1093,800
132,Suriname,SUR,South America,585824,2270,2170,100,3,3,0,40,3,154100,0,2,4304,0,67,1439,393,8547,163820,386,1907,1200
133,Bhutan,BUT,Southern Asia,750125,7500,7500,0,4,2,0,10,0,353000,0,0,10578,0,10,2261,15,6432,38394,0,1136,0
